"gene","importance","Non-unique Gene name","Annotation"
"ydiF_1~~~ydiF_2~~~carA_2~~~ydiF_3~~~crt~~~menB_1~~~carA_1~~~ydiF",6.0096212171816e-05,"ydiF_1;ydiF_2;carA_2;;ydiF_3;crt;menB_1;carA_1;ydiF","Acetate CoA-transferase YdiF;Caffeate CoA-transferase;hypothetical protein;Short-chain-enoyl-CoA hydratase;14-dihydroxy-2-naphthoyl-CoA synthase"
"group_10287",5.93979992762312e-05,"","hypothetical protein"
"group_9699",5.92855553585749e-05,"","hypothetical protein"
"pduA",5.92233043834065e-05,"pduA","Bacterial microcompartment shell protein PduA"
"group_2580",5.9120552277051e-05,"","hypothetical protein"
"group_29406",5.91202351059421e-05,"","hypothetical protein"
"group_2179",5.91118439542615e-05,"","hypothetical protein"
"group_9174",5.89158009377622e-05,"","hypothetical protein"
"group_31082",5.88272471813898e-05,";tnpA_2","hypothetical protein;Tn3 family transposase;Transposase for transposon"
"umuC_1~~~umuC_2~~~umuC_4~~~umuC_5~~~umuC_3~~~dinB_1~~~dinB_2~~~dinB~~~umuC_6",5.8802177655993e-05,"umuC_1;umuC_2;umuC_4;;umuC_5;umuC_3;dinB_1;dinB_2;dinB;umuC_6","Protein UmuC;hypothetical protein;DNA polymerase IV"
"iroB_2~~~iroB",5.83870263224733e-05,"iroB_2;iroB","Enterobactin C-glucosyltransferase"
"group_8929",5.82007269854596e-05,"","hypothetical protein"
"group_29629",5.81526189543007e-05,"","hypothetical protein"
"uxaA_3~~~garD_2",5.79753328215742e-05,"uxaA_3;garD_2","Altronate dehydratase;Galactarate dehydratase (L-threo-forming)"
"dapH~~~dapH_1~~~lacA_1",5.78813482343492e-05,";dapH;dapH_1;lacA_1","Putative acetyltransferase;hypothetical protein;2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase;Galactoside O-acetyltransferase"
"group_8806",5.78730682897348e-05,"","hypothetical protein"
"group_27749",5.78010122915456e-05,"argF","Ornithine carbamoyltransferase"
"group_9861",5.7743991036987e-05,"","hypothetical protein"
"group_27990",5.77394441548897e-05,"","hypothetical protein"
"fixX_1~~~fixX_3",5.70425326282096e-05,"fixX_1;fixX_3","Ferredoxin-like protein FixX"
"fliC_2~~~fliC~~~fliC_3",5.6958868183866e-05,"fliC_2;;fliC;fliC_3","Flagellin;hypothetical protein"
